id,title,role_bucket,seniority,is_remote_label,skills,salary_mid,state,posted_month,skill,skill_clean
5677903252,"Data Engineer, AWS Marketing D:SE",Data Engineer,Mid,On-site,r|aws,131385.44,Washington,2026-03,aws,AWS
5677851261,Data Analyst/Report Writer,Data Analyst,Mid,On-site,sql|power bi|r,62156.62,Unknown,2026-03,sql,SQL
5677851261,Data Analyst/Report Writer,Data Analyst,Mid,On-site,sql|power bi|r,62156.62,Unknown,2026-03,power bi,Power BI
5677814724,Corporate Reporting Specialist - Chief Accounting Office - Firstbank Pr,BI Analyst,Mid,On-site,excel|r,100672.17,Unknown,2026-03,excel,Excel
5677795235,"Director, Client Engagement",Other,Mid,On-site,excel|r,149136.98,Tennessee,2026-03,excel,Excel
5677791553,Dock&Door Sales Coordinator,Other,Mid,On-site,excel|r,36184.89,Georgia,2026-03,excel,Excel
5677750437,Planning & Data Analyst,Data Analyst,Mid,On-site,excel|r,73000.0,Arizona,2026-03,excel,Excel
5679345284,Quality and Project Analyst,Data Analyst,Mid,On-site,,64887.73,Washington,2026-03,,
5679343164,Cardiac Catheterization Radiologic Technologist LA/OC/DOWNEY PD,Other,Mid,On-site,r|aws,111733.6,California,2026-03,aws,AWS
5679341620,Power BI Developer,BI Analyst,Mid,On-site,power bi|r,83058.7,Unknown,2026-03,power bi,Power BI
5679337500,"Respiratory Therapist, Registered",Other,Mid,On-site,,75169.44,Arkansas,2026-03,,
5679331204,Senior Accountant,Other,Senior,On-site,excel|r,85519.82,Virginia,2026-03,excel,Excel
5679313498,Bookkeeper / Office Manager - Jenison Area,Other,Mid,On-site,excel|r,55375.9,Michigan,2026-03,excel,Excel
5679313223,UWD - Call Center Representative - Confirmation Specialist,Other,Mid,On-site,excel|r,37789.24,Ohio,2026-03,excel,Excel
5679313038,MDS Coordinator,Other,Mid,On-site,excel|r,98254.23,Texas,2026-03,excel,Excel
5679312949,Sales Commission and Revenue Ops Analyst,Data Analyst,Mid,On-site,excel|r,64835.46,Colorado,2026-03,excel,Excel
5679312895,Medical Education Research Manager,Other,Mid,On-site,excel|r,91536.91,Virginia,2026-03,excel,Excel
5679264249,Power BI Engineer,Data Engineer,Mid,On-site,r|spark,87384.21,Unknown,2026-03,spark,Spark
5679264248,Sr. Program Analyst - ITSM (VA ESOM),Data Analyst,Senior,On-site,r|spark,85197.7,Unknown,2026-03,spark,Spark
5679263464,General Education Teacher,Other,Mid,On-site,excel|r,91904.38,New York,2026-03,excel,Excel
5679257407,Systems & Operations Manager - Multifamily,Other,Mid,On-site,excel|r,84161.61,Texas,2026-03,excel,Excel
5679256922,Clinical Research Coordinator I- Winship Cancer Institute,Other,Mid,On-site,excel|r,62954.23,Georgia,2026-03,excel,Excel
5679256917,Clinical Research Data Coordinator II- Winship Cancer Institute,Other,Mid,On-site,excel|r,66119.14,Georgia,2026-03,excel,Excel
5679256920,"The Carter Center: Sr. Associate Director, Development Systems, Development",Other,Senior,On-site,excel|r,86247.22,Georgia,2026-03,excel,Excel
5679256903,"Manager, Language Access Services",Other,Mid,On-site,excel|r,95243.0,Georgia,2026-03,excel,Excel
5679256144,Customer Service Representative,Other,Mid,On-site,excel|r,47638.23,New York,2026-03,excel,Excel
